1;Calvin;Tbd9JIsGYgvO0jII/tZFkQ==;JVMFbl5sehcQBuvkXTpYqSGRVACnyNxx;uzjRy/y2x3edIw1irfFWXQ==;h1skMgfINeqFeI8SsBwak8SLHYFrQ+KQPXtZ0hEYhD4=;ipWrPJnMljH5NrQPYt4WW2aRiJ1CPGYzNJPlnlasgJY=;QRHGz+OA3dQoRms3zohXKoQZYRu55Uzk;wK/+H0NcPWl0B3BatXgNFg==;Af81eUOdneAIVu1gD0ibQYXm8/M2Mi3iWHEYLNSyF00=
2;Calvin;HXvefKMku/ayND9QKeS5mg==;1i4tRWPFYn7ofTIsXkDRmBBGin7mLGpv;R+81ZtMLDwUbmO3nWhxD5A==;iyyfQAmmFhhcgU96poMR8QzLdcZaKvy9d5/Cgb2getU=;YkQwLFR03TwJqZfpb1oj2L1wVYTi7nhWIX2s5Ndm0XQ=;5YdT3zygvdhDZQg74+IZtYo34tvFl9/2;jWJMQGNbKrskCu4uRF0rFw==;/W1UrLCZT2LMhhQL2kSwYK4gJIMjApY71EEXKc+kufE=
3;Warren;xSvjuozffBJT7kNUeddwkg==;lYF5a9F8HT3vKAwA5NFFIGzLC0SKwnq2;70DlUD3Ui7NoSq6gEQEIP1X+dmASon/p;a2k8jvnUBUkOojD11e3iAkrQ/eWbjEOM;dJ0Fun4vpubwBa99qMjv+rwuo1ZDCFwgTMk3VfsAlv7+3yqbF7b86Q==;jAVfGhYq/V5Bqphc5Il7tYteAmiGL++0;R35w3cwqD+fEB1OSd9QzXg==;zVJIZ1n9hh3PeumWwK8tjXFdU/YMoPL27eWtq42Px34=
4;James;IRmpdijcwA+GMxGZI6jbqw==;QBG4+pFicIHl7uH+cNA4Gg==;E9aSEMem6D59bFl7YmfC+Xtx1twiuZzP;KK2LWP+yt/i/6r/7yHpeU4TAkckc/SSX;e/5Cfo8uIRzlDMsr0LsaGw==;U4Bu/YG8lwwQ24amnKGJ1Mkv+9VgbuL+;JkRy65FyZTek02jDat0fZg==;5rzsfAuiU+gBRIOMI4dBzCJEk8qY8d0v6uodgGYRG9M=
5;Grover;JEdCffQTuizZk+OdXSsaAg==;JbCHGI8AZdV9MGMDRLXaY+caHwuVkWVs;fRfxOne4ZSRMn7d+HWwyiNWIczJOQn2O;UkpniImP5SWz9vtbC8pSxzj2Ho7ausKAyfWhfQVaLj4=;nmaTEfZb2ddcpqKl+kjs3A==;kExtagdAn0LTKdrbDcdY+ntYIH63j3X+;lA79/7eO4xpmauJqS1t8fQ==;SmrzczmMNlgrfjGdUsvpa8b01qR1panPjsrPcfpIcUk=
6;Millard;zZGNbofoftaCjFVVQMVSOg==;ZtV24ukpBjZNH9MVAqQLA0trXdVJXF8Y;8CHJ4FdK79r+k1qoKH5F7x8OdjFwld+G;qfW5sQeLz4I9mJrNb2QSnctiRdJZIy5f7GDmhRym3Ow=;uVFbCaE9fBvS0uv11hKacg==;tVUa/VRH+5kq+6KShXKJoGZKYcU8vWqd;qS++z6lcno66NaEiu3CE6Q==;lBSRqvx+5t8gkruRfxCB+DAglu4poxJ0bWmFNKqNDFs=
7;Ulysses;xgHnNpFnBuXtXvI6DFIFPA==;S1I89GdVJuCrBU5PaUw005BoZAklAMc4;5KvRGdEiHVtDBEsi4S5TAfqbmZlR5wQk;d737P7s+NzuLUOCss0Sk0AwHV5sAByVw;sgoDKQI47AIM4yfDZiq08Q==;vC4SOB/mwVQTnO+bvtoWeOwJFjlvfMBm;x6bK896mZlnYbk9ZhP42+w==;tJGKjQJap3TKgjXR2k3Gi/ota6tcb1Oo4RUuwxF/9Ts=
8;Herbert;CUBd/1U6aFnnMgonKBtsOg==;YOZGpXPyrx20Qzb81VhoiN9WSxbOjWC4;4X8HLB2pR6H+HLJXUU5SqR3GfS+VMpAN;7YSwHHplYN3aEj3v4Et7EQakhYo3/y/4;KNfS9BMh9Dah+7N52jcGNw==;P0AicjWAB6makD5w0Y0z4XLatEP2cBOT;bQqee7syy6+pY+NldbwPGA==;LLSI0HkPeNAUY7v4MVO1yc3uoJCHHgzTh5AuMfUBD1Q=
9;Calvin;y6lMeQw3/5HyaB8enP1JOQ==;c6I7ih6kpq6L6KKf9qFvqEvyjsRqGxUl;tsrABiANXqdtw2rMLbEy+g==;QkntsDTDQcC5vqQms6sD48KzCz6fIFzE;Mjt1uXKnbwj6wiEyibtExA==;pCn82QxyVVlyMDki0JFsQZClV+r0TC/6;vcWUlrVATV65MCILG6qomw==;IfExTkuoCQz9zhQzs00jSDsPAFUqddMbHJ9mY2q3aOo=
9;Calvin;0HeUboCjMJ+bkQUYBl9RBw==;rjIWcQevClupHMmfJ6ES3w==;h2U50Dgc+gDb5otrhODU5Q==;4OZ1TT0PEWmJraieVdd4OnGVmfxSvTNM;QAoa13WzalgjLOEJuFuhKA==;PVsN+HiEK4Jwb9k8tXVtp/lXBJMGF1qt;JvlDpRGuhEZ/La88rd5xgA==;0urNfT65JxlzTm/WhUf6ojQd8bJ1nX9qF8UnJgwNlbs=
10;Gerald;AkuuU4f7EOdhMZr3B2yD9Q==;HIfEBWhaTbOqvTLaz4qYsw==;ckx4yZds/INDXdAv5qfsS3M2ySwrPcqW;OLGlntDeuuzRN2AwyctgZW2sUKH4rEYdgV6+CvSBq14=;KtYFrKTQ/lDy8psnsTtqiw==;o42YfT6Jh1EFPP4C9ove6Lm6Vbh5eK2a;utVB5g4gXSYsGet+iTvAEg==;rd6pr6SkiGNDGzvcTjg2gnmhHlmqYTTyzsuqW7UC/nY=
